AQI,PM2.5
47,22
89,48
133,77
60,30
46,31
70,46
68,44
100,55
112,59
102,69
70,41
66,46
51,34
46,27
50,19
77,47
59,32
70,48
54,31
89,65
97,72
66,42
51,34
35,19
35,11
59,40
84,61
96,63
87,63
82,59
125,86
67,26
78,51
101,73
64,41
49,31
60,31
49,32
64,30
78,43
68,44
47,31
74,47
67,41
72,51
116,84
80,43
63,23
68,23
59,36
75,50
65,33
56,26
61,39
71,50
52,34
71,50
92,66
106,79
73,48
98,72
91,67
87,63
45,29
44,27
68,48
62,41
81,58
72,51
103,65
63,39
81,59
111,80
98,65
98,36
99,69
153,115
71,51
91,65
109,71
118,78
114,82
159,105
89,55
82,55
100,72
70,48
105,72
86,63
121,91
112,81
59,29
44,21
48,33
76,55
58,40
71,51
50,28
64,44
147,111
128,94
178,135
104,77
60,42
65,45
70,50
108,81
97,71
106,79
116,76
83,36
54,24
53,26
49,26
51,35
121,91
148,111
66,46
92,65
43,26
72,52
93,68
211,166
134,101
99,73
137,104
88,61
53,33
81,58
107,80
226,179
94,70
105,78
79,58
126,95
186,142
97,71
60,38
38,16
66,47
147,111
90,61
75,50
52,34
96,70
43,29
34,22
154,113
80,54
178,134
195,148
205,158
219,171
53,36
46,29
70,50
104,77
122,91
142,109
126,94
139,100
81,53
144,110
177,133
192,144
174,133
203,162
173,130
89,66
38,24
43,29
128,96
67,47
96,56
67,39
107,79
105,79
105,76
106,79
121,91
152,114
67,44
85,61
138,103
111,83
92,62
117,88
131,98
120,73
84,46
88,64
114,86
97,70
113,84
98,67
123,92
171,130
100,73
55,36
61,42
98,72
160,120
171,127
186,138
89,66
83,60
77,54
86,63
92,67
177,134
91,65
56,38
75,53
124,93
112,83
197,152
94,62
99,73
79,53
133,99
169,129
113,84
72,51
89,65
84,61
134,100
72,51
54,38
63,44
96,71
54,33
86,63
81,58
65,46
64,40
86,59
90,62
55,28
76,52
73,49
72,47
54,33
55,34
61,38
74,51
66,36
68,31
80,53
145,109
173,129
79,40
49,17
54,27
99,72
127,95
126,95
93,67
71,46
66,45
97,70
99,67
64,30
53,29
83,60
88,65
64,43
66,44
53,33
113,85
142,98
93,57
73,46
73,52
69,47
84,60
52,25
59,31
38,23
45,21
44,17
59,37
55,27
38,22
73,52
82,55
44,20
44,18
26,13
55,37
83,59
88,62
81,54
48,26
70,48
50,25
24,13
50,31
87,58
135,96
102,55
86,46
55,36
76,55
77,55
96,63
57,35
78,48
38,21
75,54
77,56
48,30
68,48
59,41
62,44
100,73
89,65
88,60
83,57
130,97
73,52
79,57
87,64
77,50
55,33
88,64
73,51
127,95
112,82
59,38
60,40
92,67
69,44
91,67
119,89
208,159
87,62
83,60
104,74
56,36
65,43
86,57
48,26
60,37
63,32
60,32
62,28
48,16
55,18
72,45
161,121
100,70
72,46
114,74
46,24
44,20
52,34
67,47
63,42
87,64
124,93
102,65
108,71
87,63
68,43
59,39
69,47
104,71
124,86
161,111
121,90
51,31
80,58
76,55
62,41
63,44
61,40
61,42
65,44
106,77
64,41
41,26
60,42
131,98
167,126
124,92
125,92
137,90
81,49
76,53
71,49
65,41
78,56
109,82
76,54
68,47
64,45
97,69
97,69
129,97
99,70
95,64
130,96
58,40
87,64
167,125
154,116
113,78
52,25
54,32
109,81
149,110
170,123
143,104
195,142
147,107
104,76
100,74
92,65
82,60
67,41
122,80
53,22
80,54
100,75
118,88
99,67
87,64
73,53
64,45
103,76
82,54
76,54
162,123
108,80
56,39
70,50
89,65
99,74
95,67
80,57
55,38
44,30
82,60
76,55
95,70
86,62
59,42
106,80
72,44
49,31
75,54
51,33
52,30
78,55
96,71
173,131
159,119
76,55
67,39
89,64
138,104
130,96
105,76
183,138
136,75
107,79
70,47
72,48
65,42
125,94
119,90
85,60
65,46
127,95
140,106
106,79
113,84
280,230
103,69
38,21
31,19
21,12
32,18
84,62
81,59
55,38
65,46
64,45
52,34
89,66
62,44
49,33
57,40
40,26
103,77
134,102
175,132
114,86
118,89
119,89
45,31
72,53
186,141
128,97
115,106
166,141
229,184
188,143
